Item Code,Item Name,Class,Size,Opening Balance (DAY_01_OPEN),Month
SCMBR0009735,Budweiser Premium King of Beer .,M,330 ML,38,2025-12
SCMBR0009736,Budweiser Premium King of Beer .,M,330 ML (CAN),0,2025-12
SCMBR0009787,FOSTERS LAGAR BEER .,M,50 Ltr,0,2025-12
SCMBR0009846,Kingfisher Strong Premium Beer .,F,650 ML,132,2025-12
SCMBR0009847,Kingfisher Strong Premium Beer .,F,330 ML,64,2025-12
SCMBR0009850,Knock Out Refreshing Strong .,F,330 ML,0,2025-12
SCMBR0009851,Knock Out Refreshing Strong .,F,650 ML,0,2025-12
SCMBR0009852,Knock Out High Punch Strong .,F,500 ML (CAN),0,2025-12
SCMBR0009853,Knock Out High Punch Strong .,F,650 ML,0,2025-12
SCMBR0010034,HEINEKEN LAGER BEER .,M,650 ML,2,2025-12
SCMBR0010035,HEINEKEN LAGER BEER .,M,330 ML,0,2025-12
SCMBR0018131,Budweiser Premium King of Beer .,M,500 ML (CAN),0,2025-12
SCMBR0018132,Budweiser Premium King of Beer .,M,650 ML,56,2025-12
SCMBR0018133,Budweiser King of Beer .,M,330 ML,0,2025-12
SCMBR0018134,Budweiser King of Beer .,M,330 ML (CAN),0,2025-12
SCMBR0018135,Budweiser King of Beer .,M,500 ML (CAN),0,2025-12
SCMBR0018136,Budweiser King of Beer .,M,650 ML,0,2025-12
SCMBR0018137,Budweiser Magnum Strong Beer .,F,330 ML,0,2025-12
SCMBR0018138,Budweiser Magnum Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018139,Budweiser Magnum Strong Beer .,F,650 ML,0,2025-12
SCMBR0018140,Budweiser Magnum Premium Strong Beers .,F,330 ML,0,2025-12
SCMBR0018141,Budweiser Magnum Premium Strong Beers .,F,500 ML (CAN),0,2025-12
SCMBR0018142,Budweiser Magnum Premium Strong Beers .,F,650 ML,0,2025-12
SCMBR0018143,Zingaro Super Strong Premium Beer .,F,330 ML,0,2025-12
SCMBR0018144,Zingaro Super Strong Premium Beer .,F,650 ML,0,2025-12
SCMBR0018145,London Pilsner Premium Strong Beer .,F,650 ML,0,2025-12
SCMBR0018146,Canon 10000 Super Strong Beer .,F,330 ML,0,2025-12
SCMBR0018147,Canon 10000 Super Strong Beer .,F,650 ML,0,2025-12
SCMBR0018148,Kingfisher Premium Lager Beer .,M,330 ML,0,2025-12
SCMBR0018149,Kingfisher Premium Lager Beer .,M,650 ML,10,2025-12
SCMBR0018150,London Pilsner Premium Beer .,M,650 ML,0,2025-12
SCMBR0018151,Carlsberg All Malt Premium Beer .,M,330 ML,0,2025-12
SCMBR0018152,Carlsberg All Malt Premium Beer .,M,330 ML (CAN),0,2025-12
SCMBR0018153,Carlsberg All Malt Premium Beer .,M,500 ML (CAN),0,2025-12
SCMBR0018154,Carlsberg All Malt Premium Beer .,M,650 ML,0,2025-12
SCMBR0018155,Tuborg Green Beer .,M,330 ML,0,2025-12
SCMBR0018156,Tuborg Green Beer .,M,500 ML (CAN),0,2025-12
SCMBR0018157,Tuborg Green Beer .,M,650 ML,0,2025-12
SCMBR0018158,Carlsberg Elephant Strong Super Premium Beer .,F,330 ML,60,2025-12
SCMBR0018159,Carlsberg Elephant Strong Super Premium Beer .,F,500 ML (CAN),64,2025-12
SCMBR0018160,Carlsberg Elephant Strong Super Premium Beer .,F,650 ML,79,2025-12
SCMBR0018161,Tuborg Strong Premium Beer .,F,330 ML,80,2025-12
SCMBR0018162,Tuborg Strong Premium Beer .,F,330 ML (CAN),0,2025-12
SCMBR0018163,Tuborg Strong Premium Beer .,F,500 ML (CAN),89,2025-12
SCMBR0018164,Tuborg Strong Premium Beer .,F,650 ML,158,2025-12
SCMBR0018165,Tuborg Classic Black Strong Beer .,F,330 ML,0,2025-12
SCMBR0018166,Tuborg Classic Black Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018167,Tuborg Classic Black Strong Beer .,F,650 ML,72,2025-12
SCMBR0018168,Lila Kangaro 10000 Strong Beer .,F,330 ML,0,2025-12
SCMBR0018169,Lila Kangaro 10000 Strong Beer .,F,330 ML (CAN),0,2025-12
SCMBR0018170,Lila Kangaro 10000 Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018171,Khajuraho Super Strong Beer .,F,330 ML,0,2025-12
SCMBR0018172,Khajuraho Super Strong Beer .,F,330 ML (CAN),0,2025-12
SCMBR0018173,Khajuraho Super Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018174,Kangaro Premium Miled Beer .,M,330 ML,0,2025-12
SCMBR0018175,Kangaro Premium Miled Beer .,M,330 ML (CAN),0,2025-12
SCMBR0018176,Haywards 5000 Super Strong Beer .,F,330 ML (CAN),0,2025-12
SCMBR0018177,Haywards 5000 Super Strong Beer .,F,650 ML,0,2025-12
SCMBR0018178,Haywards 5000 Super Strong Beer .,F,1000 ML(12),0,2025-12
SCMBR0018179,Haywards 5000 Super Strong Beer .,F,1500 ML (9),0,2025-12
SCMBR0018180,Fosters Gold Strong Beer .,F,650 ML,0,2025-12
SCMBR0018181,Haywards 2000 Premium Strong Beer .,F,330 ML (CAN),0,2025-12
SCMBR0018182,Haywards 2000 Premium Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018183,Haywards 2000 Premium Strong Beer .,F,650 ML,0,2025-12
SCMBR0018184,FOSTERS LAGAR BEER .,M,500 ML (CAN),0,2025-12
SCMBR0018421,Carlsberg All Malt Premium Beer .,M,250 ML(Pet),0,2025-12
SCMBR0018482,Corona Extra Beer .,M,355 ML,0,2025-12
SCMBR0018552,Fosters Gold Strong Beer .,F,330 ML,0,2025-12
SCMBR0018553,Fosters Gold Strong Beer .,F,330 ML (CAN),0,2025-12
SCMBR0018554,Fosters Gold Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018556,Miller Ace Strong Beer .,F,330 ML,0,2025-12
SCMBR0018557,Miller Ace Strong Beer .,F,650 ML,0,2025-12
SCMBR0018558,Miller Ace Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018559,Haywards 5000 Super Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018560,Haywards 5000 Super Strong Beer .,F,330 ML,0,2025-12
SCMBR0018561,Haywards 5000 Beer BOLD .,F,330 ML,0,2025-12
SCMBR0018562,Haywards 5000 Beer BOLD .,F,500 ML (CAN),0,2025-12
SCMBR0018563,Haywards 5000 Beer BOLD .,F,650 ML,0,2025-12
SCMBR0018564,Miller High Life .,F,330 ML,0,2025-12
SCMBR0018565,Miller High Life .,F,500 ML (CAN),0,2025-12
SCMBR0018566,Miller High Life .,F,650 ML,0,2025-12
SCMBR0018567,Knock Out Refreshing Strong .,F,330 ML (CAN),0,2025-12
SCMBR0018568,Knock Out Refreshing Strong .,F,500 ML (CAN),0,2025-12
SCMBR0018569,Knock Out Refreshing Strong .,F,1000 ML,0,2025-12
SCMBR0018570,Knock Out Refreshing Strong .,F,1500 ML (9),0,2025-12
SCMBR0018572,FOSTERS LAGAR BEER .,M,330 ML (CAN),0,2025-12
SCMBR0018573,FOSTERS LAGAR BEER .,M,330 ML,0,2025-12
SCMBR0018574,FOSTERS LAGAR BEER .,M,650 ML,0,2025-12
SCMBR0018575,FOSTERS LAGAR BEER .,M,30 Ltr,0,2025-12
SCMBR0018576,FOSTERS LAGAR BEER .,M,15 Ltr,0,2025-12
SCMBR0018589,Tuborg Booster Strong Premium Beer .,F,330 ML,0,2025-12
SCMBR0018590,Tuborg Booster Strong Premium Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018591,Tuborg Booster Strong Premium Beer .,F,650 ML,0,2025-12
SCMBR0018613,REPEAT PREMIUM STRONG BEER .,F,330 ML,0,2025-12
SCMBR0018614,REPEAT PREMIUM STRONG BEER .,F,500 ML (CAN),0,2025-12
SCMBR0018615,REPEAT PREMIUM STRONG BEER .,F,650 ML,0,2025-12
SCMBR0018616,London Pilsner Premium Beer .,M,330 ML (CAN),0,2025-12
SCMBR0018617,London Pilsner Premium Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0018618,Kingfisher Ultra Lager Beer .,M,330 ML,0,2025-12
SCMBR0018619,Kingfisher Ultra Lager Beer .,M,650 ML,22,2025-12
SCMBR0018620,Kingfisher Premium Lager Beer .,M,330 ML (CAN),0,2025-12
SCMBR0018621,Kingfisher Premium Lager Beer .,M,500 ML (CAN),0,2025-12
SCMBR0018622,Kingfisher Draught Lager Beer .,M,500 ML (CAN),0,2025-12
SCMBR0018623,Kingfisher Draught Lager Beer .,M,20 Ltr,0,2025-12
SCMBR0018624,Kingfisher Draught Lager Beer .,M,30 Ltr,0,2025-12
SCMBR0018625,Kingfisher Draught Lager Beer .,M,50 Ltr,0,2025-12
SCMBR0018626,Kingfisher Strong Premium Beer .,F,330 ML (CAN),0,2025-12
SCMBR0018627,Kingfisher Strong Premium Beer .,F,500 ML (CAN),106,2025-12
SCMBR0018628,Kingfisher Ultra Max Beer .,F,650 ML,12,2025-12
SCMBR0018629,Zingaro Super Strong Premium Beer .,F,330 ML (CAN),0,2025-12
